Day,Susceptible,Infected,Recovered
0,1000,8,11
1,982,40,0
2,1000,0,3
3,1000,33,42
4,963,6,12
5,956,3,10
6,1000,30,0
7,965,9,39
8,915,32,40
9,929,23,92
10,880,129,25
11,858,85,49
12,853,79,60
13,759,124,112
14,731,134,76
15,728,152,104
16,673,199,133
17,668,226,142
18,585,210,147
19,521,230,194
20,558,258,250
21,460,214,219
22,422,249,287
23,334,344,298
24,320,356,391
25,304,298,347
26,234,319,412
27,251,303,477
28,197,375,547
29,185,304,533
30,157,252,550
31,215,213,654
32,145,178,583
33,103,216,588
34,149,172,693
35,79,137,688
36,115,146,694
37,43,120,766
38,57,190,770
39,98,154,762
40,110,116,756
41,89,150,835
42,78,98,841
43,69,61,830
44,31,125,899
45,52,88,821
46,58,34,816
47,102,53,849
48,79,27,875
49,15,6,890
50,76,128,882
51,54,96,905
52,44,0,861
53,82,49,947
54,94,9,905
55,90,11,944
56,36,5,924
57,52,0,930
58,71,20,936
59,89,0,935
60,45,23,943
61,54,12,965
62,26,5,933
63,23,0,950
64,83,0,927
65,99,31,974
66,56,23,912
67,88,0,987
68,69,9,933
69,38,28,892
70,69,0,940
71,104,21,916
72,56,0,962
73,104,21,918
74,0,0,925
75,82,0,882
76,60,0,925
77,48,4,867
78,60,10,892
79,0,0,963
80,50,21,964
81,68,0,953
82,101,0,912
83,41,0,939
84,33,0,941
85,42,2,906
86,84,0,986
87,67,0,968
88,41,31,935
89,72,0,942
90,60,25,948
91,86,0,880
92,36,16,934
93,47,43,921
94,45,0,912
95,13,0,933
96,66,17,996
97,64,0,961
98,57,11,925
99,50,0,959
100,14,2,984
101,44,0,970
102,46,35,944
103,33,7,923
104,52,10,963
105,69,0,954
106,113,0,969
107,62,0,961
108,64,11,974
109,54,0,926
110,0,8,982
111,56,62,948
112,58,26,1000
113,131,0,922
114,51,36,994
115,66,0,948
116,56,0,923
117,22,0,928
118,91,0,933
119,79,0,955
120,80,0,958
121,29,50,925
122,99,9,942
123,15,0,1000
124,74,24,994
125,122,0,955
126,27,7,944
127,40,23,946
128,60,0,961
129,41,34,912
130,10,10,935
131,59,0,892
132,25,18,954
133,71,68,962
134,29,5,928
135,103,7,990
136,33,0,906
137,47,0,898
138,81,24,949
139,20,0,974
140,63,3,993
141,96,0,929
142,8,14,975
143,62,10,941
144,64,31,937
145,80,0,969
146,19,0,962
147,17,0,895
148,72,0,987
149,66,11,984
150,64,22,924
151,67,0,954
152,36,26,957
153,64,40,950
154,65,12,926
155,35,56,922
156,113,0,942
157,71,0,978
158,21,0,959
159,76,44,931
160,27,19,966
161,80,0,857
162,91,8,977
163,32,0,890
164,85,73,932
165,69,3,909
166,81,3,904
167,113,21,977
168,49,14,928
169,34,6,953
170,30,0,941
171,32,14,957
172,54,56,945
173,67,40,904
174,65,47,972
175,81,0,928
176,57,0,896
177,100,0,930
178,49,1,987
179,138,32,968
180,75,0,932
181,31,45,932
182,24,0,933
183,71,0,1000
184,50,0,954
185,78,0,955
186,71,24,973
187,54,2,950
188,31,0,935
189,11,0,937
190,43,0,940
191,82,50,941
192,63,0,964
193,19,0,944
194,62,0,964
195,68,0,940
196,30,0,945
197,61,0,882
198,58,0,970
199,22,20,953
200,67,55,972
201,73,33,856
202,89,0,1000
203,88,0,938
204,15,77,976
205,28,1,911
206,72,0,961
207,72,0,911
208,72,5,924
209,172,0,1000
210,74,0,937
211,91,0,949
212,85,0,969
213,76,0,957
214,47,0,947
215,79,3,953
216,33,0,1000
217,49,45,941
218,42,0,948
219,59,32,974
220,126,37,976
221,1,0,978
222,77,0,962
223,8,0,908
224,42,0,991
225,89,0,908
226,59,0,951
227,24,52,920
228,35,28,940
229,77,38,952
230,35,38,952
231,63,0,955
232,58,0,991
233,37,14,956
234,121,0,935
235,76,21,971
236,0,0,978
237,62,0,906
238,37,21,960
239,82,13,963
240,33,0,933
241,53,34,984
242,72,0,938
243,83,18,946
244,21,17,937
245,47,0,943
246,42,9,910
247,37,0,899
248,110,27,990
249,69,0,917
250,19,0,913
251,84,31,878
252,120,0,923
253,88,0,903
254,11,0,992
255,42,18,973
256,95,0,922
257,35,52,1000
258,70,0,972
259,80,50,933
260,29,6,867
261,55,0,1000
262,0,0,901
263,26,11,893
264,49,0,973
265,19,33,1000
266,106,3,984
267,14,4,959
268,43,0,960
269,61,0,968
270,100,0,965
271,14,0,951
272,91,0,946
273,57,22,941
274,27,5,920
275,70,0,934
276,63,0,892
277,39,10,939
278,59,0,913
279,45,0,909
280,60,5,948
281,76,0,984
282,104,12,970
283,19,0,895
284,121,30,913
285,0,14,971
286,52,7,913
287,74,29,936
288,65,49,959
289,38,30,913
290,50,0,946
291,42,0,902
292,39,0,924
293,82,0,952
294,67,15,895
295,36,0,956
296,84,5,942
297,66,0,959
298,81,0,949
299,75,0,983
300,32,0,946
301,40,0,930
302,79,0,946
303,75,31,959
304,56,0,944
305,60,78,944
306,95,14,921
307,39,5,923
308,73,0,900
309,51,21,995
310,50,0,905
311,90,3,922
312,81,76,921
313,81,0,969
314,96,34,934
315,57,0,980
316,77,0,922
317,47,53,951
318,66,0,917
319,53,54,1000
320,60,38,907
321,74,0,952
322,32,18,961
323,119,29,955
324,26,18,937
325,20,0,939
326,91,0,944
327,80,0,938
328,75,0,971
329,75,18,1000
330,56,5,926
331,30,0,901
332,59,11,940
333,36,18,1000
334,86,16,918
335,52,32,992
336,32,25,993
337,47,13,926
338,69,0,959
339,40,0,991
340,32,12,931
341,64,6,936
342,64,8,925
343,41,0,912
344,42,0,923
345,64,31,906
346,13,0,943
347,14,20,919
348,35,0,949
349,50,0,896
350,66,28,952
351,101,0,967
352,82,2,883
353,52,0,954
354,56,0,979
355,27,0,906
356,56,6,993
357,48,0,955
358,66,37,921
359,32,0,941
360,72,0,959
361,103,0,945
362,53,43,959
363,69,5,915
364,77,30,947
365,45,0,900
366,63,8,939
367,57,26,915
368,60,2,920
369,33,31,979
370,57,0,975
371,72,42,961
372,100,68,910
373,85,0,933
374,121,0,979
375,34,43,947
376,83,47,1000
377,62,0,954
378,122,0,948
379,32,0,933
380,31,0,946
381,39,0,938
382,0,0,964
383,41,0,971
384,34,0,919
385,61,7,902
386,67,46,887
387,113,0,958
388,85,29,909
389,39,0,878
390,30,0,954
391,71,20,1000
392,17,0,942
393,112,11,968
394,92,4,945
395,43,14,939
396,5,8,970
397,97,73,934
398,53,0,950
399,94,0,952
400,9,0,922
401,39,0,972
402,57,0,937
403,58,35,920
404,43,42,959
405,75,0,915
406,25,0,943
407,52,14,942
408,60,0,975
409,72,18,957
410,78,10,942
411,23,0,967
412,11,46,984
413,95,53,959
414,67,0,943
415,34,0,903
416,103,8,910
417,60,10,933
418,92,19,924
419,59,60,937
420,118,0,944
421,109,0,958
422,49,0,940
423,86,0,957
424,76,0,944
425,98,53,883
426,28,0,914
427,77,6,938
428,88,0,906
429,4,35,960
430,21,75,988
431,0,0,979
432,49,0,936
433,78,31,987
434,102,20,947
435,59,55,932
436,105,17,924
437,15,0,933
438,5,17,931
439,55,33,948
440,68,24,947
441,56,15,942
442,0,32,956
443,54,35,978
444,17,41,971
445,77,19,898
446,68,0,866
447,28,4,970
448,41,36,901
449,25,0,936
